id,name,count
1,al,56
2,ak,false
4,az,36
5,ar,27
6,ca,13
8,co,1
9,ct,1
10,de,16
11,dc,false
12,fl,86
13,ga,53
15,hi,false
16,id,3
17,il,12
18,in,20
19,ia,false
20,ks,false
21,ky,3
22,la,28
23,me,false
24,md,5
25,ma,false
26,mi,false
27,mn,false
28,ms,21
29,mo,74
30,mt,3
31,ne,3
32,nv,12
33,nh,false
34,nj,false
35,nm,1
36,ny,false
37,nc,43
38,nd,false
39,oh,53
40,ok,111
41,or,2
42,pa,3
44,ri,false
45,sc,43
46,sd,3
47,tn,6
48,tx,515
49,ut,7
50,vt,false
51,va,110
53,wa,5
54,wv,false
55,wi,false
56,wy,1
72,pr,false
